,1_P1-100-3,1_P1-20-3,1_P1-200-3,1_P1-300-3,1_P1-40-3,1_P1-60-3,2_P1-100-3,2_P1-20-3,2_P1-200-3,2_P1-300-3,2_P1-40-3,2_P1-60-3,3_P1-20-3,3_P1-200-3,3_P1-300-3,3_P1-40-3,3_P1-60-3,4_P1-90-3,4_P1-20-3,4_P1-100-3,4_P1-200-3,4_P1-40-3,4_P1-60-3,4_P1-300-3,5_P1-20-3,3_P1-90-3,5_P1-100-3,5_P1-200-3,5_P1-300-3,5_P1-40-3,5_P1-90-3,6_P1-100-3,6_P1-20-3,6_P1-200-3,6_P1-40-3,6_P1-60-3,6_P1-300-3,7_P1-20-3,7_P1-40-3,7_P1-60-3,10_P1-20-3,10_P1-40-3,7_P1-105-3,7_P1-200-3,7_P1-300-3,8_P1-100-3,8_P1-115-3,8_P1-20-3,8_P1-200-3,8_P1-250-3,8_P1-40-3,8_P1-60-3,9_P1-100-3,9_P1-120-3,9_P1-20-3,9_P1-200-3,9_P1-40-3,9_P1-500-3,9_P1-60-3,10_P1-100-3,10_P1-120-3,10_P1-200-3,10_P1-500-3,10_P1-60-3,11_P1-100-3,11_P1-20-3,11_P1-200-3,11_P1-40-3,11_P1-500-3,11_P1-60-3,11_P1-70-3,12_P1-100-3,12_P1-20-3,12_P1-200-3,12_P1-40-3,12_P1-500-3,12_P1-60-3,13_P1-100-3,13_P1-20-3,13_P1-200-3,13_P1-40-3,13_P1-500-3,13_P1-60-3,14_P1-100-3,14_P1-20-3,14_P1-200-3,14_P1-40-3,14_P1-500-3,14_P1-60-3,15_P1-100-3,15_P1-20-3,15_P1-200-3,15_P1-40-3,15_P1-500-3,15_P1-60-3,16_P1-20-3,16_P1-100-3,16_P1-200-3,16_P1-40-3,16_P1-500-3,16_P1-60-3,17_P1-100-3,17_P1-20-3,17_P1-40-3,17_P1-500-3,17_P1-60-3,18_P1-100-3,18_P1-20-3,18_P1-200-3,18_P1-40-3,18_P1-500-3,18_P1-60-3,19_P1-100-3,19_P1-20-3,19_P1-200-3,19_P1-40-3,19_P1-500-3,19_P1-60-3,12_P2-100-3,12_P2-20-3,12_P2-200-3,12_P2-300-3,12_P2-40-3,12_P2-60-3,15_P2-100-3,15_P2-20-3,15_P2-200-3,15_P2-300-3,15_P2-40-3,15_P2-60-3,17_P2-100-3,17_P2-20-3,17_P2-200-3,17_P2-300-3,17_P2-40-3,17_P2-60-3,6_P2-100-3,6_P2-20-3,6_P2-200-3,6_P2-300-3,6_P2-40-3,6_P2-60-3,8_P2-20-3,8_P2-200-3,8_P2-300-3,8_P2-40-3,8_P2-60-3,18_P2-100-3,18_P2-20-3,18_P2-200-3,18_P2-300-3,18_P2-40-3,18_P2-60-3,20_P2-100-3,20_P2-20-3,20_P2-200-3,20_P2-300-3,20_P2-40-3,20_P2-60-3
15_P2-60-3,1,1,0.98,1,1,1,1,1,1,1,1,1,1,1,0.82,1,1,1,0.99,1,1,1,0.99,0.94,1,1,0.99,0.95,0.93,1,1,0.96,1,1,0.99,1,0.5,1,1,1,0.92,1,0.99,0.99,0.54,1,1,0.99,1,0.79,1,0.99,1,1,1,1,1,0.99,0.9,1,1,1,0.79,1,1,1,1,0.99,1,0.99,1,1,0.88,1,0.84,1,0.87,0.84,0.53,0.89,0.53,0.94,0.26,0.96,0.9,0.96,0.86,0.93,0.75,0.5,0.82,0.95,0.87,0.79,0.81,0.9,0.78,0.98,0.34,0.96,0.87,0.86,0.9,0.88,0.74,0.56,0.8,0.89,0.94,0.8,0.94,0.62,0.59,0.81,0.94,0.7,0.37,0.84,1,0.75,0.11,0.61,0.49,0.38,-0.9,-0.95,0.54,0.59,-1,0,0.61,0.02,0.8,0.45,-0.24,-0.2,0.99,0.96,0.98,0.65,0.92,0.77,0.89,1,0.99,0.88,0.89,0.5,0.14,0.85,0.95,0.06,0.11,0.1,-0.99,0.39,0.94,-0.98,-1
17_P2-100-3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.83,1,1,1,1,1,1,1,1,0.99,1,1,1,0.99,0.97,1,1,0.99,1,1,1,1,0.64,1,1,1,0.98,1,1,1,0.07,1,1,1,0.99,0.56,1,1,1,1,1,0.98,1,0.9,0.87,1,1,1,0.87,1,1,1,1,1,0.98,1,1,1,1,1,1,1,1,0.64,0.99,0.82,0.99,0.85,0.95,0.98,0.87,1,0.98,0.47,0.99,0.31,0.4,0.93,0.73,0.82,0.97,0.98,0.57,0.95,0.37,0.97,0.97,0.95,0.81,0.7,0.78,0.66,0.78,0.91,0.86,0.57,0.97,0.12,0.86,0.65,0.87,0.78,0.56,0.54,0.99,0.99,0.41,-0.04,0.99,0.97,-0.53,0.89,0.89,0.07,0.79,0.61,0,-0.64,-0.98,0,-0.96,-0.5,1,0.79,0.5,-0.01,0.68,0.54,0.62,0.98,0.83,0.96,0.99,-1,-0.58,0.64,-0.18,-0.74,-0.24,-0.22,0.96,0.9,0.41,0.94,0.81
17_P2-20-3,1,1,0.99,1,1,1,1,1,0.99,1,1,1,1,1,0.47,1,1,1,1,1,1,1,0.98,0.89,1,1,0.99,0.96,0.84,1,1,0.95,1,1,1,1,0.23,1,1,1,0.86,1,1,0.99,0.3,1,1,0.99,1,0.33,1,0.97,1,1,1,0.99,1,0.97,0.85,0.98,1,1,0.6,1,1,1,0.93,1,0.96,0.99,1,1,1,0.99,0.97,0.96,0.99,0.49,0.89,0.28,0.91,0.32,0.55,0.79,0.78,0.85,0.91,-0.29,0.98,0.23,-0.42,0.73,0.5,0.42,0.88,0.93,0.3,0.68,-0.12,0.66,0.89,0.65,0.5,0.25,0.1,0.34,0.26,0.79,0.31,-0.07,0.66,-0.11,0.62,0.02,0.33,0.15,0.07,0.27,0.98,0.9,-0.21,-0.16,0.76,0.78,-0.58,0.47,0.5,-0.91,0.32,0.02,-0.64,0,-0.96,-0.53,-1,-0.82,0.96,0.35,0.53,-0.26,0.56,0.35,0.56,0.94,0.75,0.83,0.84,-0.77,-0.94,0.56,0.11,-0.7,-0.79,0.15,0.54,0.41,0.1,0.45,-0.1
17_P2-200-3,1,1,0.96,1,1,1,1,1,0.99,1,1,1,1,1,0.03,1,1,1,0.99,1,0.99,1,0.98,0.75,0.99,1,0.98,0.81,0.66,0.97,1,0.88,1,0.99,1,1,-0.3,1,1,1,0.55,1,0.99,0.96,0.09,1,1,0.98,0.95,0.07,1,0.95,1,1,1,0.96,1,0.7,0.39,0.94,1,0.99,0.36,1,1,0.99,0.94,1,0.82,0.99,1,1,1,1,0.98,0.82,1,0.73,1,0.56,0.99,0,0.89,0.71,0.99,0.74,0.98,-0.16,1,0.35,0.38,0.56,0.99,-0.08,0.97,1,0.63,0.65,0.79,0.49,1,0.62,0.74,0.86,-0.04,-0.1,0.08,0.98,0.61,0.68,0.11,0.34,0.32,0.79,0.4,0.85,-0.18,0.96,0.42,0.93,-0.73,-0.61,0.89,0.91,-0.17,0.97,0.39,-0.63,0.94,0.8,-0.98,-0.96,0,-0.84,0.46,0,0.95,-0.59,-0.35,-0.7,-0.27,-0.75,-0.44,0.59,-0.32,0.28,0.86,0.1,0.42,0.06,-0.61,0.78,0.49,0.78,0.89,0.23,-0.46,0.99,0.11
17_P2-300-3,1,0.91,0.77,1,1,1,1,1,0.07,1,1,1,1,1,-0.22,0.44,1,1,0.97,1,0.91,1,0.97,-0.17,0.49,1,0.95,-0.47,-0.88,0.11,0.98,0.39,1,0.92,0.99,1,-0.75,0.99,1,0.9,-0.36,0.99,0.95,0.75,-0.24,1,1,0.96,0.91,0.07,1,0.85,1,1,1,0.96,0.99,0.6,-0.04,0.92,0.99,0.99,0.09,1,1,0.91,0.98,1,0.89,0.98,1,0.98,0.99,0.99,0.93,0.57,0.99,0.83,0.98,0.64,0.98,-0.74,0.69,0.72,0.97,-0.69,0.89,0.37,0.95,0.48,0.62,0.54,0.98,-0.52,0.89,0.99,0.78,0.61,0.78,0.59,0.96,0.74,0.83,0.8,-0.03,-0.08,0.23,0.88,0.58,0.74,-0.3,0.56,0.01,0.76,0.29,0.64,-0.57,0.89,-0.16,0.81,-0.99,-0.31,0.81,0.83,-0.21,0.86,-0.93,-0.82,0.84,0.45,0,-0.53,-0.84,0,-0.02,-0.1,0.87,0.12,0.54,-0.74,0.36,-0.92,0.35,0.85,0.45,0.63,0.72,-0.47,-0.1,-0.96,-0.89,0.43,-0.22,0.46,0.19,-0.96,-0.68,0.91,-0.9
17_P2-40-3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.67,1,1,1,0.96,1,1,1,0.99,0.96,1,1,0.98,0.97,0.85,1,1,0.98,1,1,0.99,1,0.72,1,1,1,0.78,1,0.99,1,0.56,1,1,0.96,0.99,0.42,1,0.92,1,1,1,1,0.99,0.89,0.81,0.99,1,1,0.66,1,1,1,0.98,0.99,0.99,0.99,1,0.99,0.79,0.99,0.63,0.99,0.82,0.33,0.55,0.81,0.66,0.82,0.73,0.69,0.04,0.94,0.55,0.61,0.38,0.12,-0.09,0.71,0,0.59,0.47,-0.1,0.27,0.91,-0.28,0.82,0.11,0.47,-0.22,-0.29,0.47,-0.04,0.28,-0.15,0.66,0.01,0.86,-0.22,0.22,-0.47,0.81,-0.19,0,-0.45,1,0.73,0.24,0.44,0.57,0.7,-0.33,-0.33,0.59,0.31,-0.11,-0.24,-0.96,-1,0.46,-0.02,0,-1,0.92,0.83,0.88,0.65,0.81,0.7,0.83,1,0.95,0.87,0.74,-0.55,-1,0.73,0.82,-1,-1,-0.12,-0.31,0.53,0.81,-0.43,-0.48
17_P2-60-3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.76,1,1,1,1,1,1,1,1,0.99,1,1,1,1,0.99,1,1,0.99,1,1,1,1,0.7,1,1,1,0.97,1,1,1,0.61,1,1,1,1,0.62,1,1,1,1,1,1,1,1,0.98,1,1,1,0.92,1,1,1,1,1,1,1,1,1,0.99,1,0.95,1,0.99,0.54,0.78,0.81,0.95,0.89,0.82,0.96,0.26,1,0.85,0.6,0.94,0.49,0.28,0.92,0.1,0.82,0.81,0.44,0.38,0.96,-0.02,0.97,0.59,0.94,0.24,-0.15,0.75,0.54,0.76,0.38,0.89,0.25,0.98,0.01,0.81,-0.34,0.88,-0.07,0.4,-0.33,1,0.95,0.26,0.45,0.9,0.84,-0.72,0.45,0.84,0.52,0.25,-0.2,-0.5,-0.82,0,-0.1,-1,0,0.99,0.98,0.94,0.4,0.94,0.89,0.96,1,0.99,0.97,0.96,-0.85,-1,0.86,0.87,-1,-1,-0.15,0.6,0.86,0.9,0.51,0.52
6_P2-100-3,0.9,1,1,1,0.99,0.31,0.8,1,1,1,1,1,1,1,0.8,0.99,1,0.97,0.87,0.98,1,0.99,0.78,1,1,0.92,0.89,1,1,0.99,0.98,0.95,0.96,1,0.87,0.99,0.96,1,1,1,0.99,1,0.73,1,0.95,0.97,0.58,0.97,1,0.97,1,0.98,0.92,0.94,1,1,0.98,1,0.98,0.86,0.74,1,0.98,1,0.93,0.15,1,0.22,1,-0.18,0.21,0.99,0.96,0.99,0.91,1,0.9,1,0.99,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,0.99,1,1,1,1,0.96,1,1,1,1,1,0.99,0.88,0.97,1,1,1,1,1,0.85,1,1,1,0.89,1,0.94,0.53,0.82,0.57,0.68,0.3,0.93,0.92,1,0.78,0.92,0.99,1,0.96,0.95,0.87,0.92,0.99,0,0.7,0.49,0.59,0.09,0.15,0.47,0.65,0.96,0.47,-0.05,1,1,1,1,1,1,1,0.99,0.96,1,0.99,0.99
6_P2-20-3,1,1,0.99,1,0.88,0.97,0.99,1,1,1,1,1,0.99,1,0.62,1,1,1,0.92,1,1,1,0.93,0.93,0.99,1,0.98,0.98,0.92,1,0.96,0.9,1,0.99,0.99,1,0.44,1,0.99,1,0.77,1,0.97,0.9,0.02,0.88,0.99,0.59,1,0.51,1,0.58,0.97,0.99,0.76,0.96,0.91,0.97,0.79,0.99,0.99,1,0.47,0.97,0.99,1,0.91,0.79,0.99,0.87,0.99,1,1,1,1,0.99,1,0.93,0.99,0.98,1,0.87,1,0.99,1,0.99,1,0.71,1,0.31,0.87,0.78,1,0.68,1,1,0.93,0.99,0.8,0.96,1,0.99,1,0.98,0.82,0.85,0.88,1,0.96,0.98,0.95,0.71,0.5,0.99,0.97,0.96,0.06,1,0.94,0.58,0.3,-0.1,-0.42,0.72,0.85,0.99,0.88,-0.85,0.98,0.96,0.79,0.35,-0.59,0.12,0.83,0.98,0.7,0,-1,-0.55,-1,-1,-1,0.32,-0.53,-0.73,-0.66,0.95,0.95,0.92,0.87,0.99,0.99,0.98,1,0.66,0.65,1,0.99
6_P2-200-3,1,1,0.83,0.98,1,1,1,1,1,1,1,1,1,0.99,0.44,1,1,1,0.98,1,0.99,1,0.99,0.91,1,1,0.97,0.93,0.97,1,1,0.93,1,0.97,1,1,0.67,1,1,1,0.99,1,0.99,0.99,0.74,1,1,0.97,0.99,0.82,1,0.98,1,1,0.99,0.93,0.99,0.97,0.92,1,1,1,0.84,1,0.99,1,0.97,1,0.99,0.97,1,1,1,1,1,1,1,1,1,1,1,0.96,1,0.99,1,1,1,0.96,1,0.89,0.97,0.97,1,0.91,1,1,0.99,1,0.9,0.97,1,0.99,0.99,1,0.9,0.6,0.85,1,0.99,0.99,0.97,0.97,0.53,0.99,1,0.99,0.65,1,0.68,0.95,0.22,-0.41,0.93,0.92,0.9,0.99,0.95,0.23,0.98,0.98,0.5,0.53,-0.35,0.54,0.88,0.94,0.49,-1,0,-0.64,-1,-1,-0.98,-0.54,-0.89,-0.06,0.63,0.99,0.98,0.99,0.98,1,1,0.99,1,0.86,0.9,1,0.99
6_P2-300-3,1,0.99,0.57,0.99,1,1,1,1,0.82,1,1,1,1,0.97,-0.51,0.89,1,0.99,0.91,0.99,0.74,0.99,0.68,-0.13,0.65,0.99,0.86,-0.12,-0.25,0.48,0.94,0.16,1,0.6,0.94,0.99,-0.6,0.99,0.94,0.93,0.32,0.99,0.69,0.45,-0.57,0.91,0.99,0.9,0.85,0.04,0.98,0.73,0.98,0.95,0.95,0.64,0.97,0.59,-0.13,0.89,0.98,0.97,0.15,0.98,0.94,0.92,0.96,0.99,0.82,0.88,0.99,0.99,1,0.99,0.99,0.53,1,0.99,0.99,0.89,0.99,0.06,0.9,0.92,1,0.63,0.99,0.7,1,0.9,0.95,0.84,1,-0.01,0.97,1,0.98,0.93,0.88,0.91,1,0.96,0.97,0.99,0.5,0.44,0.7,1,0.85,0.98,0.55,0.93,0.31,0.99,0.71,0.97,-0.13,1,-0.68,0.28,-0.97,-0.97,0.65,0.56,0.01,0.96,0.1,-0.3,0.93,0.65,-0.01,-0.26,-0.7,-0.74,0.65,0.4,0.59,-0.55,-0.64,0,-0.59,-0.97,-0.85,-0.15,-0.61,-0.18,0.44,0.58,0.52,0.06,0.23,0.73,0.66,0.8,0.7,-0.48,-0.14,0.98,0.5
6_P2-40-3,1,0.97,1,1,0.89,0.91,0.99,1,1,1,1,1,1,1,0.44,1,1,1,0.87,1,1,0.99,0.96,0.92,1,1,0.98,0.98,0.98,1,0.98,0.97,1,1,0.99,1,0.67,1,1,1,0.97,1,0.99,1,0.74,0.98,1,0.92,1,0.91,1,0.96,0.99,1,0.98,1,0.96,0.99,0.94,1,1,1,0.89,0.99,1,0.98,1,0.76,1,0.93,1,1,1,1,1,1,1,1,1,1,1,0.98,1,0.99,1,1,1,0.97,1,0.91,0.98,0.97,1,0.94,1,1,0.99,1,0.92,0.99,1,1,1,1,0.95,0.78,0.92,1,0.99,1,0.98,0.98,0.7,1,1,1,0.76,1,0.9,0.38,0.38,-0.2,-0.59,0.58,0.72,0.96,0.9,0.11,0.89,0.92,0.68,0.56,-0.27,0.36,0.81,0.94,0.09,-1,-1,-0.59,0,-1,-1,0.31,-0.13,-0.87,-0.72,0.97,0.96,0.97,0.98,0.99,0.99,0.99,1,0.79,0.9,0.99,1
6_P2-60-3,1,0.99,0.72,1,0.98,1,0.99,1,0.65,1,1,1,0.99,1,-0.32,0.97,1,1,0.87,1,0.97,0.99,0.91,0.12,0.92,1,0.94,-0.01,0.52,0.89,0.91,0.29,1,0.92,0.98,1,-0.77,1,0.99,0.99,0.17,1,0.92,0.71,-0.25,0.93,0.99,0.68,1,0.39,1,0.75,0.98,0.99,0.88,0.89,0.92,0.92,0.52,0.97,1,1,0.15,0.99,0.95,1,0.84,0.92,0.95,0.75,0.99,1,1,0.99,0.99,0.83,1,0.92,0.99,0.84,1,-0.07,0.89,0.95,1,0.8,1,0.5,1,0.26,0.75,0.72,0.98,0.06,0.96,1,0.87,0.86,0.52,0.85,1,0.93,0.97,0.94,0.44,0.51,0.7,0.99,0.72,0.93,0.61,0.64,0.18,0.95,0.62,0.87,-0.44,0.98,0.68,0.78,-0.95,-0.16,0.25,0.71,0.13,0.97,-0.22,-0.27,0.94,0.77,0.54,0.35,-0.75,-0.92,0.7,0.89,0.15,-1,-1,-0.97,-1,0,-0.69,0.29,0.09,-0.15,0.1,0.68,0.9,0.4,0.64,0.98,0.93,0.93,0.97,-0.6,0.46,0.99,0.9
8_P2-20-3,1,1,1,1,0.93,0.84,1,1,1,1,1,1,1,1,0.61,1,1,1,0.96,1,0.99,1,0.86,0.87,0.99,1,0.98,0.95,0.96,1,0.98,0.94,1,0.98,1,1,0.62,1,0.99,1,0.98,1,0.93,0.96,-0.01,0.96,1,0.94,1,0.59,1,0.88,0.99,0.99,0.95,0.84,0.97,0.93,0.74,1,1,1,0.7,0.97,0.99,0.91,0.98,0.28,0.99,0.86,0.99,1,1,1,1,0.99,1,1,1,1,1,0.98,1,1,1,1,1,0.97,1,0.88,0.97,0.94,1,0.92,1,1,0.99,1,0.91,0.99,1,1,1,1,0.95,0.85,0.95,1,1,1,1,0.98,0.82,1,1,0.99,0.78,1,0.85,-0.58,0.08,-0.81,-0.8,0.2,0.67,0.96,0.93,-0.4,0.92,0.89,0.62,0.56,-0.44,0.35,0.83,0.96,0.47,-1,-0.98,-0.85,-1,-0.69,0,0.02,-0.44,-0.99,-1,0.91,0.89,0.91,0.77,0.95,0.99,0.95,0.99,0.78,0.51,1,0.99
8_P2-200-3,1,1,0.98,0.96,1,1,1,1,1,1,1,1,1,1,0.89,1,1,1,1,1,0.99,1,1,0.93,1,1,0.99,0.97,0.99,1,1,0.9,1,0.97,1,1,0.89,1,1,1,1,1,0.98,0.99,0.75,1,1,1,0.99,0.92,1,1,1,1,1,0.96,1,0.99,0.99,1,1,0.99,0.98,1,0.99,1,1,1,1,0.96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,0.97,1,1,1,1,1,1,0.96,1,1,1,0.94,1,0.65,1,0.04,-0.09,0.99,0.97,0.82,1,0.99,0.7,1,1,0.98,0.94,0.59,0.85,1,1,0.65,0.32,-0.54,-0.15,0.31,0.29,0.02,0,-0.96,0.92,0.98,1,1,1,0.99,1,1,1,1,0.97,0.97,1,1
8_P2-300-3,1,1,0.97,0.78,1,1,1,1,0.99,0.97,1,1,1,0.96,0.58,1,1,1,1,1,0.93,1,0.98,0.53,1,1,0.98,0.86,0.97,1,1,0.87,1,0.77,1,1,0.67,1,1,1,1,1,0.99,0.87,0.44,1,1,1,0.93,0.7,1,0.99,1,1,1,0.77,1,0.91,0.94,1,1,0.96,0.82,1,0.99,1,0.92,1,0.95,1,1,1,1,1,1,0.96,1,1,1,1,1,0.97,1,1,1,1,1,0.95,1,0.93,0.99,0.89,1,0.89,1,1,1,0.99,0.98,0.97,1,1,1,1,0.98,0.87,0.98,1,1,1,0.99,0.99,0.87,1,1,1,0.8,1,0.85,0.99,-0.21,-0.44,0.99,0.97,0.86,1,0.95,-0.03,1,0.99,0.83,0.75,-0.32,0.45,0.95,0.99,0.96,-0.53,-0.89,-0.61,-0.13,0.09,-0.44,-0.96,0,0.79,0.96,0.98,0.98,0.96,0.86,0.99,1,0.99,1,0.89,0.69,1,1
8_P2-40-3,1,1,1,1,0.94,0.56,1,1,1,1,1,1,1,1,0.73,1,1,1,0.95,1,1,1,0.99,0.98,1,1,1,0.99,1,1,0.99,0.99,1,1,0.99,1,0.78,1,1,1,0.99,1,0.99,1,0.77,0.99,1,0.97,1,0.92,1,0.97,1,1,0.99,1,0.99,1,0.97,1,1,1,0.95,0.99,1,0.43,1,-0.42,1,0.97,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,0.99,1,1,1,0.98,1,1,1,1,0.95,1,1,1,1,1,0.98,0.92,0.99,1,1,1,1,1,0.88,1,1,1,0.77,1,0.99,-0.69,0.25,0.18,-0.95,0.19,0.49,0.94,0.97,0.63,0.9,0.88,0.96,0.83,0.28,0.63,0.87,0.97,0.47,-0.73,-0.06,-0.18,-0.87,-0.15,-0.99,0.92,0.79,0,-1,0.99,0.98,1,1,0.99,1,0.99,0.99,0.85,0.99,0.99,0.99
8_P2-60-3,1,0.99,1,1,0.93,-0.59,0.99,1,1,1,1,1,0.99,1,0.69,1,1,1,0.9,1,1,0.98,0.94,0.99,1,1,0.99,1,1,0.99,0.99,0.99,0.99,1,0.97,1,0.97,1,0.99,1,0.99,0.99,0.95,1,0.96,0.98,0.97,0.92,1,0.96,1,0.96,0.99,0.99,0.98,1,0.89,1,0.97,0.99,1,1,0.98,0.98,0.99,-0.49,1,-0.79,1,0.83,0.98,1,0.99,1,0.97,1,0.97,0.99,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,0.99,1,1,1,1,0.95,1,1,1,1,1,1,0.87,0.97,1,1,1,1,1,0.91,0.99,1,0.99,0.94,1,0.99,-1,0.62,0.34,-0.91,0.19,0.57,0.78,0.98,0.65,0.69,0.89,0.99,0.84,0.86,0.72,0.74,0.96,-0.05,-0.66,0.63,0.44,-0.72,0.1,-1,0.98,0.96,-1,0,1,0.98,0.99,1,0.99,1,1,0.97,0.9,0.98,0.95,0.99
18_P2-100-3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.91,1,1,1,1,1,1,1,1,0.87,0.99,1,1,0.93,0.64,1,1,0.97,1,1,1,1,0.11,1,1,1,0.77,1,0.99,0.99,0.33,1,1,1,1,0.3,1,0.99,1,1,1,1,1,0.91,0.75,1,1,1,0.74,1,1,1,1,1,0.97,1,1,1,0.99,1,0.94,0.98,0.99,0.6,0.98,0.83,0.94,0.64,0.87,0.8,0.86,0.84,0.84,0.85,0.78,0.58,0.4,0.88,0.86,0.36,0.8,0.88,0.61,0.95,0.43,0.92,0.8,0.73,0.57,0.44,0.63,0.19,0.55,0.76,0.93,0.39,0.78,0.02,0.64,0.42,0.83,0.63,0.25,0.78,0.99,0.97,-0.3,0.51,0.98,0.96,-0.85,0.74,0.31,0.28,0.78,0.5,-1,-0.77,0.1,-0.47,-0.55,-0.85,1,0.95,0.99,0.58,0.97,0.68,0.91,1,0.98,0.99,1,0,-0.78,-0.21,-0.28,-0.63,-0.9,-0.69,0.53,0.28,0.42,0.77,-0.43
18_P2-20-3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,0.98,0.94,1,1,0.99,0.97,0.9,1,1,0.97,1,1,1,1,0.54,1,1,1,0.92,1,0.99,0.99,0.16,1,1,1,1,0.3,1,0.97,1,1,1,0.98,1,0.94,0.82,1,1,1,0.73,1,1,1,0.99,1,0.99,0.99,1,1,0.96,0.99,0.83,0.99,0.96,0.5,0.84,0.85,0.82,0.84,0.84,0.89,0.62,0.99,0.85,0.62,0.79,0.41,0.2,0.86,0.25,0.67,0.56,0.42,0.4,0.97,-0.31,0.94,0.67,0.89,0.07,-0.03,0.7,0.32,0.62,0.26,0.88,0.22,0.93,0.14,0.64,-0.06,0.9,-0.08,0.23,0.37,1,0.89,0.09,0.39,0.87,0.83,-0.36,0.47,0.81,0.43,0.31,0.14,-0.58,-0.94,0.42,-0.1,-1,-1,1,0.95,0.98,0.52,0.96,0.9,0.89,1,0.98,0.98,0.98,-0.78,0,0.64,0.78,-1,-1,-0.12,0.21,0.75,0.76,0.42,0.1
18_P2-200-3,1,1,0.88,1,1,1,1,1,0.67,1,1,1,1,1,0.66,0.99,1,1,0.99,1,0.99,1,0.98,0.47,0.97,1,0.99,-0.28,-0.62,0.94,1,0.79,1,0.96,1,1,-0.63,1,1,1,0.32,1,0.97,0.8,-0.15,1,1,0.99,0.96,0.03,1,0.93,1,1,1,0.92,1,0.68,0.47,0.99,1,1,0.46,1,0.99,0.99,0.98,1,0.92,0.96,1,1,1,1,0.98,0.92,1,0.66,0.99,0.78,1,-0.21,0.92,0.86,0.99,-0.62,0.99,0.22,0.99,0.44,0.79,0.56,0.99,0.02,0.96,1,0.73,0.87,0.64,0.84,0.99,0.9,0.91,0.87,0.56,0.24,0.52,0.98,0.84,0.89,0.6,0.42,0.49,0.88,0.62,0.84,-0.2,0.96,0.97,0.99,-0.81,0.47,0.97,0.97,-0.32,0.97,-0.64,0.24,0.92,0.85,0.64,0.56,0.06,-0.96,0.73,0.86,1,0.92,0.99,0.06,0.97,0.4,0.91,1,0.96,1,0.99,-0.21,0.64,0,-0.17,0.71,0.62,0.72,0.9,-0.93,0.36,0.99,-0.45
18_P2-300-3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.69,1,1,1,1,1,0.98,1,1,0.69,1,1,0.98,0.81,0.47,0.99,1,0.83,1,0.96,1,1,-0.39,1,1,1,0.81,1,0.98,0.9,-0.53,1,1,0.99,0.78,0.02,1,0.98,1,1,1,0.84,1,0.35,0.35,0.99,1,0.99,0.64,1,1,1,0.99,1,0.6,0.99,1,1,1,1,1,0.78,1,0.76,1,0.64,1,0.05,0.97,0.87,1,0.73,1,-0.42,1,0.21,0.57,0.48,1,0.22,0.99,1,0.71,0.5,0.74,0.59,1,0.84,0.91,0.95,0.36,0.26,0.41,0.99,0.59,0.84,0.55,0.42,0.67,0.93,0.45,0.94,-0.04,0.99,0.94,0.99,-0.63,-0.33,0.99,0.99,-0.24,1,0.31,-0.19,0.98,0.95,-0.18,0.11,-0.61,-0.89,0.82,0.87,1,0.87,0.98,0.23,0.98,0.64,0.77,0.99,0.86,1,1,-0.28,0.78,-0.17,0,0.78,0.81,0.62,0.99,0.23,-0.83,1,0.66
18_P2-40-3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.95,1,1,1,0.99,1,1,1,0.98,0.96,1,1,0.92,0.95,0.82,1,1,0.98,1,0.99,1,1,0.69,1,1,1,0.96,1,0.97,0.99,0.16,1,1,0.99,0.99,0.43,1,0.96,1,1,1,0.94,1,0.74,0.82,1,1,1,0.75,1,1,1,0.99,1,0.98,0.98,1,1,0.98,1,0.92,0.99,0.97,0.63,0.82,0.92,0.91,0.92,0.9,0.95,0.6,1,0.9,0.82,0.86,0.41,0.37,0.89,0.01,0.81,0.7,0.33,0.56,0.99,-0.35,0.98,0.5,0.94,0.23,-0.06,0.85,0.51,0.81,0.33,0.95,0.34,0.98,0.23,0.69,-0.06,0.95,-0.11,0.33,0.05,1,0.88,0.4,0.57,0.84,0.86,-0.33,0.39,0.87,0.75,0.24,0.06,-0.74,-0.7,0.78,0.43,-1,-1,1,0.99,1,0.73,0.99,0.98,0.95,1,0.99,0.99,0.99,-0.63,-1,0.71,0.78,0,-1,-0.32,0.23,0.79,0.82,0.29,0.42
